-161.619275372  64.4336947456
-164.052718881  64.0733944954
-167.283226842  64.7189324437
-168.741320772  65.7397831526
-167.285156416  67.0308590492
-166.820530013  68.3369474562
-164.358105303  69.9733110926
-161.369220113  70.8290241868
-157.50891922  71.5946622185
-153.948216027  71.3244370309
-150.612696636  70.8590492077
-147.62278401  70.483736447
-144.392789767  70.4537114262
-142.725199222  70.4236864053
-141.177355038  69.8682235196
-142.018298505  69.4478732277
-143.595675197  69.387823186
-145.233119279  69.2977481234
-147.035855187  69.2527105922
-148.508007443  69.1175979983
-148.808106332  68.682235196
-147.576023163  68.4570475396
-146.178798524  68.3669724771
-145.472323816  67.9015846539
-146.794282536  67.8115095913
-148.401730512  67.7814845705
-150.144273734  67.6163469558
-152.007102092  67.5713094245
-154.155344528  67.4962468724
-156.574028049  67.4512093411
-158.917671185  67.4962468724
-160.479974645  67.376146789
-162.101994664  66.8056713928
-161.800655336  65.7547956631
